source_product,recommended_product,times_co_purchased
Peanut Butter Cereal,Yellow Onions,30
Peanut Butter Cereal,Seedless Red Grapes,27
Peanut Butter Cereal,Organic Reduced Fat 2% Milk,33
Peanut Butter Cereal,Apple Honeycrisp Organic,33
Peanut Butter Cereal,Bag of Organic Bananas,87
Peanut Butter Cereal,Strawberries,33
Peanut Butter Cereal,Organic Large Extra Fancy Fuji Apple,26
Peanut Butter Cereal,Organic Strawberries,72
Peanut Butter Cereal,Organic Baby Spinach,61
Peanut Butter Cereal,Organic Whole String Cheese,35
Peanut Butter Cereal,Organic Yellow Onion,34
Peanut Butter Cereal,Unsweetened Almondmilk,31
Peanut Butter Cereal,Banana,161
Peanut Butter Cereal,Organic Garlic,28
Peanut Butter Cereal,Limes,35
Peanut Butter Cereal,Organic Blackberries,29
Peanut Butter Cereal,Half & Half,34
Peanut Butter Cereal,Fresh Cauliflower,30
Peanut Butter Cereal,Organic Whole Milk,57
Peanut Butter Cereal,Organic Raspberries,30
Peanut Butter Cereal,Organic Fuji Apple,37
Peanut Butter Cereal,Original Hummus,35
Peanut Butter Cereal,Organic Unsweetened Almond Milk,25
Peanut Butter Cereal,Organic Gala Apples,35
Peanut Butter Cereal,Organic Blueberries,25
Peanut Butter Cereal,Organic Grape Tomatoes,26
Peanut Butter Cereal,Organic Baby Carrots,31
Peanut Butter Cereal,Sparkling Water Grapefruit,39
Peanut Butter Cereal,Honeycrisp Apple,32
Peanut Butter Cereal,Organic Hass Avocado,61
Peanut Butter Cereal,Large Lemon,38
Peanut Butter Cereal,Organic Avocado,59
Peanut Butter Cereal,Organic Half & Half,25
Peanut Butter Cereal,Cucumber Kirby,30
European Cucumber,Organic 2% Reduced Fat Milk,27
European Cucumber,Yellow Bell Pepper,51
European Cucumber,Mint,35
European Cucumber,Yellow Onions,86
European Cucumber,Shredded Parmesan,34
European Cucumber,Seedless Red Grapes,58
European Cucumber,Green Onions,44
European Cucumber,100% Whole Wheat Bread,70
European Cucumber,Watermelon Chunks,25
European Cucumber,Small Hass Avocado,25
European Cucumber,Organic Lemon,61
European Cucumber,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,35
European Cucumber,Russet Potato,34
European Cucumber,Apple Honeycrisp Organic,50
European Cucumber,Broccoli Crown,27
European Cucumber,Organic Red Onion,61
European Cucumber,Blueberries,58
European Cucumber,Granny Smith Apples,55
European Cucumber,Organic Broccoli,37
European Cucumber,Organic Red Bell Pepper,96
European Cucumber,Large Alfresco Eggs,31
European Cucumber,Bag of Organic Bananas,201
European Cucumber,Pure Sparkling Water,35
European Cucumber,Green Beans,43
European Cucumber,Grade A Large Brown Eggs,30
European Cucumber,Orange Bell Pepper,97
European Cucumber,Sharp Cheddar Cheese,30
European Cucumber,Organic Carrot Bunch,36
European Cucumber,Strawberries,128
European Cucumber,Carrots,96
European Cucumber,Organic Green Leaf Lettuce,30
European Cucumber,Total 2% Lowfat Plain Greek Yogurt,31
European Cucumber,Organic Grade A Free Range Large Brown Eggs,37
European Cucumber,Organic Large Extra Fancy Fuji Apple,58
European Cucumber,Fat Free Milk,27
European Cucumber,Jalapeno Peppers,57
European Cucumber,Organic Strawberries,247
European Cucumber,"Organic Red Radish, Bunch",55
European Cucumber,Organic Baby Arugula,89
European Cucumber,Organic Baby Spinach,178
European Cucumber,Organic Boneless Skinless Chicken Breast,27
European Cucumber,Green Bell Pepper,49
European Cucumber,Organic Whole String Cheese,39
European Cucumber,Organic D'Anjou Pears,36
European Cucumber,Organic Yellow Onion,80
European Cucumber,Organic Roasted Turkey Breast,43
European Cucumber,Marinara Sauce,26
European Cucumber,Red Peppers,62
European Cucumber,Organic Romaine,38
European Cucumber,Unsweetened Almondmilk,42
European Cucumber,Banana,427
